State, IRD, C[2], C[1], C[0], J[5], J[4], J[3], J[2], J[1], J[0], LD.MAR, LD.MDR, LD.IR, LD.BEN, LD.REG, LD.CC, LD.PC, LD.Priv, LD.SavedSSP, LD.SavedUSP, LD.Vector, GatePC, GateMDR, GateALU, GatMARMUX, GateVector, GatePC-1, GatePSR, GateSP, PCMUX[1], PCMUX[0], DRMUX[1], DRMUX[0], SR1MUX[1], SR1MUX[0], ADDR1MUX, ADDR2MUX[1], ADDR2MUX[0], SPMUX[1], SPMUX[0], MARMUX, VectorMUX[1], VectorMUX[0], PSRMUX, ALUK[1], ALUK[0], MIO.EN, R.W, SetPriv,Notes
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, , , , ,0,1,0,0,1,0, , , , ,1,1, , , , , , , ,1, , , , , , , ,0,0,0,1, , , , , , , , , ,0,0, , , ,ADD
2, , , , ,0,1,1,0,0,1,1, , , , , , , , , , , , , ,1, , , , , , , , , , ,0,1,0, , ,1, , , , , , , , ,LD: MAR←PC+off9
3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
5, , , , ,0,1,0,0,1,0, , , , ,1,1, , , , , , , ,1, , , , , , , ,0,0,0,1, , , , , , , , , ,0,1, , , ,AND
6, , , , ,0,1,1,0,0,1,1, , , , , , , , , , , , , ,1, , , , , , , , , , ,1,0,1, , , , , , , , , , , ,LDR: MAR←B+off6
7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
9, , , , ,0,1,0,0,1,0, , , , ,1,1, , , , , , , ,1, , , , , , , ,0,0,0,1, , , , , , , , , ,1,0, , , ,NOT
10, , , , ,0,1,1,0,0,0,1, , , , , , , , , , , , , ,1, , , , , , , , , , ,0,1,0, , ,1, , , , , , , , ,LDI
11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
14, , , , ,0,1,0,0,1,0, , , , ,1,1, , , , , , , , ,1, , , , , , ,0,0, , ,0,1,0, , ,1, , , , , , , , ,LEA: DR←PC+off9
15, , , , ,0,1,1,1,0,0,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,0, , , , , , , , ,TRAP
16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
18, ,1,0,1,1,0,0,0,0,1,1, , , , , ,1, , , , ,1, , , , , , , ,0,0, , , , , , , , , , , , , , , , , , ,Fetch
19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
24, ,0,0,1,0,1,1,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,LDI: Load1
25, ,0,0,1,0,1,1,0,0,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,Loading: MDR←M[MAR]
26, , , , ,0,1,1,0,0,1,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,LDI: MAR←MDR
27, , , , ,0,1,0,0,1,0, , , , ,1,1, , , , , , ,1, , , , , , , , ,0,0, , , , , , , , , , , , , , , , ,"Loaded: DR←MAR, CC"
28, ,0,0,1,0,1,1,1,0,0, ,1, , ,1, , , , , , ,1, , , , , , , , , ,0,1, , , , , , , , , , , , , ,1,0, ,Read TRAP
29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
30, , , , ,0,1,0,0,1,0, , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,Load TRAP PC
31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
32,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Decode
33, ,0,0,1,1,0,0,0,0,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,Fetching
34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
35, , , , ,1,0,0,0,0,0, , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,IR←MDR
36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
